numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
3476,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
3477,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
3478,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
3479,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
3480,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
3481,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
3482,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
3483,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
3484,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
3485,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
3486,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
3487,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
3488,"Gotowiec inwestycyjny, urocza kawalerka 26,85 m2, ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,85 m² - 13370.58 zł/m²",1 pokój,Brak danych
3489,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
3490,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
3491,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
3492,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
3493,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
3494,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
3495,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
3496,"Kawalerka 38 m² za odstępne – Łódź Górna, okolice Placu Niepodległości",25 000 złdo negocjacji,Łódź,Brak danych,36 m² - 694.44 zł/m²,1 pokój,Brak danych
3497,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
3498,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
